2023-12-30 18:34:59.197 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 384 条数据...
2023-12-30 18:34:59.666 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 1162 条数据...
2023-12-30 18:34:59.668 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.669 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 311 条数据...
2023-12-30 18:34:59.678 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.682 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 1803 条数据...
2023-12-30 18:34:59.698 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.704 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 4025 条数据...
2023-12-30 18:34:59.723 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.730 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 3668 条数据...
2023-12-30 18:34:59.740 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.743 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 1341 条数据...
2023-12-30 18:34:59.745 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.745 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 319 条数据...
2023-12-30 18:34:59.762 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.769 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 4264 条数据...
2023-12-30 18:34:59.799 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.808 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 3739 条数据...
2023-12-30 18:34:59.809 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.809 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 64 条数据...
2023-12-30 18:34:59.812 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.813 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 595 条数据...
2023-12-30 18:34:59.814 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.815 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 309 条数据...
2023-12-30 18:34:59.838 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.846 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 3739 条数据...
2023-12-30 18:34:59.848 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.849 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 271 条数据...
2023-12-30 18:34:59.851 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.853 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 684 条数据...
2023-12-30 18:34:59.854 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.854 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 108 条数据...
2023-12-30 18:34:59.866 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.871 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 2345 条数据...
2023-12-30 18:34:59.884 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.889 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 2825 条数据...
2023-12-30 18:34:59.891 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.891 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 104 条数据...
2023-12-30 18:34:59.905 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.910 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 2753 条数据...
2023-12-30 18:34:59.912 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.912 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 128 条数据...
2023-12-30 18:34:59.922 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.927 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 2078 条数据...
2023-12-30 18:34:59.931 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.932 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 334 条数据...
2023-12-30 18:34:59.950 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.956 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 2607 条数据...
2023-12-30 18:34:59.957 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.958 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 361 条数据...
2023-12-30 18:34:59.961 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.961 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 466 条数据...
2023-12-30 18:34:59.964 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:34:59.964 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 366 条数据...
2023-12-30 18:34:59.996 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.010 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 9213 条数据...
2023-12-30 18:35:00.018 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.021 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 1420 条数据...
2023-12-30 18:35:00.031 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.031 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 420 条数据...
2023-12-30 18:35:00.033 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.034 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 330 条数据...
2023-12-30 18:35:00.035 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.035 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 131 条数据...
2023-12-30 18:35:00.038 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.039 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 629 条数据...
2023-12-30 18:35:00.042 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.043 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 551 条数据...
2023-12-30 18:35:00.058 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.064 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 3254 条数据...
2023-12-30 18:35:00.066 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.067 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 307 条数据...
2023-12-30 18:35:00.080 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.085 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 3427 条数据...
2023-12-30 18:35:00.101 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.107 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 3575 条数据...
2023-12-30 18:35:00.110 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.111 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 357 条数据...
2023-12-30 18:35:00.124 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.129 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 3047 条数据...
2023-12-30 18:35:00.131 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.132 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 392 条数据...
2023-12-30 18:35:00.145 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.151 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 3427 条数据...
2023-12-30 18:35:00.153 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.153 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 267 条数据...
2023-12-30 18:35:00.155 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.155 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 352 条数据...
2023-12-30 18:35:00.157 [main] INFO  [code.DictionaryHandle.handle:33] - 处理中...
2023-12-30 18:35:00.157 [main] INFO  [code.DictionaryHandle.handle:36] - 需要处理 226 条数据...
2023-12-30 18:36:47.937 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 18:36:48.063 [main] INFO  [code.DictionaryHandle.handle:38] - 处理中...
2023-12-30 18:39:05.796 [main] INFO  [code.DictionaryHandle.handle:41] - 需要处理 320 条数据...
2023-12-30 18:39:05.857 [main] INFO  [code.DictionaryHandle.handle:38] - 处理中...
2023-12-30 18:39:05.868 [main] INFO  [code.DictionaryHandle.handle:41] - 需要处理 2340 条数据...
2023-12-30 18:39:05.873 [main] INFO  [code.DictionaryHandle.handle:38] - 处理中...
2023-12-30 18:39:05.874 [main] INFO  [code.DictionaryHandle.handle:41] - 需要处理 244 条数据...
2023-12-30 18:39:05.905 [main] INFO  [code.DictionaryHandle.handle:38] - 处理中...
2023-12-30 18:39:05.917 [main] INFO  [code.DictionaryHandle.handle:41] - 需要处理 4464 条数据...
2023-12-30 18:39:05.953 [main] INFO  [code.DictionaryHandle.handle:38] - 处理中...
2023-12-30 18:39:05.957 [main] INFO  [code.DictionaryHandle.handle:41] - 需要处理 391 条数据...
2023-12-30 18:39:05.962 [main] INFO  [code.DictionaryHandle.handle:38] - 处理中...
2023-12-30 18:39:05.965 [main] INFO  [code.DictionaryHandle.handle:41] - 需要处理 492 条数据...
2023-12-30 18:50:17.519 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 18:50:17.641 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 18:50:17.652 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 18:50:53.897 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 18:50:56.592 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 18:50:56.723 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 18:50:56.734 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 18:55:36.663 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 18:55:36.805 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 18:55:36.818 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 18:58:42.586 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 18:58:42.710 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 18:58:42.722 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 19:00:18.677 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 19:00:18.816 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:00:18.826 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 19:01:25.481 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 19:01:25.649 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:01:25.666 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 19:01:59.262 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 19:01:59.384 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:01:59.395 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 19:02:45.519 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 19:02:45.647 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:02:45.658 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 19:02:55.621 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:02:55.628 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 2340 条数据...
2023-12-30 19:02:57.200 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:02:57.201 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 244 条数据...
2023-12-30 19:02:57.414 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:02:57.424 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 4464 条数据...
2023-12-30 19:05:59.337 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 19:05:59.437 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:05:59.447 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 19:06:45.950 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:06:45.997 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:06:46.008 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 2340 条数据...
2023-12-30 19:06:48.194 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 19:06:48.312 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:06:48.322 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 19:14:23.457 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 19:14:23.568 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:14:23.578 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 19:18:31.882 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:18:31.928 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:18:31.934 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 2340 条数据...
2023-12-30 19:18:50.417 [main] INFO  [code.config.Config.<clinit>:43] - /Users/kylelin1998/project/telegram-bot/random-dictionary-bot
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config
/Users/kylelin1998/project/telegram-bot/random-dictionary-bot/config/config.yaml
2023-12-30 19:18:50.523 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:18:50.533 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 320 条数据...
2023-12-30 19:18:53.426 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:18:53.470 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:18:53.476 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 2340 条数据...
2023-12-30 19:18:54.962 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:18:54.964 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:18:54.965 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 244 条数据...
2023-12-30 19:18:55.161 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:18:55.181 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:18:55.188 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 4464 条数据...
2023-12-30 19:18:59.657 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:18:59.660 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:18:59.661 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 391 条数据...
2023-12-30 19:19:00.153 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:19:00.156 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:19:00.157 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 492 条数据...
2023-12-30 19:19:00.797 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:19:00.806 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:19:00.809 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 1420 条数据...
2023-12-30 19:19:02.790 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:19:02.792 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:19:02.793 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 384 条数据...
2023-12-30 19:19:03.381 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:19:03.397 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:19:03.403 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 4423 条数据...
2023-12-30 19:19:11.233 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:19:11.239 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:19:11.241 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 1228 条数据...
2023-12-30 19:19:13.757 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:19:13.759 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:19:13.759 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 295 条数据...
2023-12-30 19:19:14.396 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:19:14.438 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:19:14.460 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 12197 条数据...
2023-12-30 19:19:50.941 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:19:50.958 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:19:50.965 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 3668 条数据...
2023-12-30 19:20:06.167 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:20:06.169 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:20:06.170 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 156 条数据...
2023-12-30 19:20:06.909 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:20:06.912 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:20:06.913 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 438 条数据...
2023-12-30 19:20:08.872 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:20:08.875 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:20:08.876 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 419 条数据...
2023-12-30 19:20:10.791 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
2023-12-30 19:20:10.808 [main] INFO  [code.DictionaryHandle.handle:43] - 处理中...
2023-12-30 19:20:10.815 [main] INFO  [code.DictionaryHandle.handle:46] - 需要处理 3728 条数据...
2023-12-30 19:20:27.773 [main] INFO  [code.DictionaryHandle.handle:57] - 处理完毕
